,file_name
0,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17298952.wav
1,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17298953.wav
2,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17298954.wav
3,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299198.wav
4,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299199.wav
5,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299200.wav
6,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299201.wav
7,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299202.wav
8,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299203.wav
9,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299204.wav
10,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299205.wav
11,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299206.wav
12,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299207.wav
13,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299208.wav
14,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299209.wav
15,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299210.wav
16,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299211.wav
17,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299212.wav
18,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299213.wav
19,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299214.wav
20,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299215.wav
21,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299216.wav
22,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299217.wav
23,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299218.wav
24,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299219.wav
25,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299220.wav
26,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299221.wav
27,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299222.wav
28,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299223.wav
29,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299224.wav
30,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299225.wav
31,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299226.wav
32,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299227.wav
33,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299228.wav
34,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299229.wav
35,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299230.wav
36,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299231.wav
37,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299232.wav
38,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299233.wav
39,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299234.wav
40,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299235.wav
41,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299236.wav
42,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299237.wav
43,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299238.wav
44,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299239.wav
45,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299240.wav
46,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299242.wav
47,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299243.wav
48,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299244.wav
49,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299245.wav
50,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299246.wav
51,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299247.wav
52,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299248.wav
53,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299249.wav
54,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299250.wav
55,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299251.wav
56,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299252.wav
57,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299253.wav
58,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299254.wav
59,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299255.wav
60,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299256.wav
61,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299257.wav
62,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299258.wav
63,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299259.wav
64,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299260.wav
65,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299261.wav
66,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299262.wav
67,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299263.wav
68,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299264.wav
69,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299265.wav
70,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299266.wav
71,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299267.wav
72,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299268.wav
73,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299269.wav
74,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299270.wav
75,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299271.wav
76,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299272.wav
77,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299273.wav
78,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299274.wav
79,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299275.wav
80,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299276.wav
81,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299277.wav
82,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299278.wav
83,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299279.wav
84,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299280.wav
85,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299281.wav
86,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299282.wav
87,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299283.wav
88,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299284.wav
89,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299285.wav
90,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299286.wav
91,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299287.wav
92,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299288.wav
93,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299289.wav
94,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299290.wav
95,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299291.wav
96,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299292.wav
97,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299293.wav
98,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299294.wav
99,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299295.wav
100,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299296.wav
101,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299297.wav
102,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299298.wav
103,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299299.wav
104,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299300.wav
105,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299301.wav
106,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299302.wav
107,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299304.wav
108,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299305.wav
109,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299306.wav
110,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299307.wav
111,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299308.wav
112,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299309.wav
113,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299310.wav
114,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299311.wav
115,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299312.wav
116,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299313.wav
117,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299314.wav
118,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299315.wav
119,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299316.wav
120,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299317.wav
121,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299318.wav
122,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299319.wav
123,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299320.wav
124,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299321.wav
125,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299322.wav
126,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299323.wav
127,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299324.wav
128,/daten_pool/ohlems/BSE_data/reverberated_multichannel_speech/common_voice_de_17299325.wav
